Club Name;Player Name;age;Player Value;Transfer Movement;Year
Arsenal FC;Petr Cech;33;1,18553;in;2015
Arsenal FC;Matt Macey;20;1,52309;in;2015
Arsenal FC;Chuba Akpom;19;2,69919;in;2015
Arsenal FC;Alex Iwobi;19;2,86980;in;2015
Arsenal FC;Chuba Akpom;20;2,90446;in;2015
Arsenal FC;Emiliano Martínez;23;0,69947;in;2015
Arsenal FC;Joel Campbell;23;3,72565;in;2015
Arsenal FC;Wellington Silva;23;3,02098;in;2015
Arsenal FC;Lukas Podolski;30;0,80890;in;2015
Arsenal FC;Yaya Sanogo;23;2,17425;in;2015
Arsenal FC;Ryo Miyaichi;22;0,33916;in;2015
Arsenal FC;Lukas Podolski;30;3,11811;out;2015
Arsenal FC;Ryo Miyaichi;22;2,21906;out;2015
Arsenal FC;Abou Diaby;29;0,31486;out;2015
Arsenal FC;Semi Ajayi;21;1,01487;out;2015
Arsenal FC;Wellington Silva;22;3,10942;out;2015
Arsenal FC;Yaya Sanogo;22;1,27913;out;2015
Arsenal FC;Wojciech Szczesny;25;2,38327;out;2015
Arsenal FC;Chuba Akpom;19;1,48291;out;2015
Arsenal FC;Emiliano Martínez;22;3,45190;out;2015
Arsenal FC;Serge Gnabry;20;3,24552;out;2015
Arsenal FC;Mohamed Elneny;23;0,23853;in;2015
Arsenal FC;Carl Jenkinson;23;2,19773;in;2015
Arsenal FC;Yaya Sanogo;23;1,41755;in;2015
Arsenal FC;Serge Gnabry;20;2,63662;in;2015
Arsenal FC;Mathieu Debuchy;30;2,05207;out;2015
Arsenal FC;Yaya Sanogo;23;3,00413;out;2015
Arsenal FC;Granit Xhaka;23;0,33913;in;2016
Arsenal FC;Shkodran Mustafi;24;0,49406;in;2016
Arsenal FC;Lucas Pérez;27;2,51632;in;2016
Arsenal FC;Takuma Asano;21;1,54575;in;2016
Arsenal FC;Rob Holding;20;2,28131;in;2016
Arsenal FC;Calum Chambers;22;1,58204;in;2016
Arsenal FC;Jack Wilshere;25;1,25182;in;2016
